Postleitzahl,Koordinate: Breitengrad (WGS84),Koordinate: LÃ¤ngengrad (WGS84)
8267,50.3538310746903,12.4109307844248
9465,50.49789135,12.9836328397554
9496,50.6009442,13.1866670850728
9548,50.6331105,13.4714679886925
8297,50.6423672832643,12.8234213343828
8134,50.6515415489437,12.5964544956237
9429,50.656641,13.0752636630451
9526,50.6721630050311,13.344047921862
9419,50.67628605,12.9583971459292
9392,50.68806555,12.9117765826809
8141,50.6898460577735,12.5496075715931
9380,50.6990124,12.8452408536904
9399,50.7270549,12.7573780993684
8066,50.7288348649313,12.5193229852145
9235,50.7333,12.9167
8132,50.7376007,12.5870002156255
9394,50.74256995,12.6754464354657
9405,50.7516932812155,13.0609186017
9355,50.76095545,12.7016727358618
1778,50.7650402473874,13.8198510656757
9623,50.77756805,13.5174622544572
9337,50.8113918777193,12.6938105305088
8371,50.8187791313225,12.5431011745833
9557,50.8547021,13.0892352664399
8396,50.8803307679808,12.5923794514651
1744,50.8816236400857,13.6624047
1814,50.9039333,14.2298014448435
9599,50.912752988313,13.3392287365313
9244,50.91853215,12.9583912463572
1738,50.93420775,13.5514898173807
2782,50.9371292322233,14.6047442373164
1809,50.94627855,13.8471309246875
1796,50.94704085,13.9505571871739
1829,50.96096915,14.0045216246422
9633,50.96196775,13.391104054319
1728,50.98045235,13.7366463279447
1259,50.9994295972538,13.8461302203051
1189,51.0151267591657,13.7013236455347
2899,51.0206561170236,14.9296030853319
1723,51.02403665,13.5167271441051
6722,51.0336291224181,12.0226128027708
1069,51.0374404065317,13.7351325914443
1326,51.03763989375,13.8425632311902
4643,51.0454615817607,12.6914250791874
2689,51.0476416340847,14.4297876198212
1157,51.0617178146267,13.6708746470036
1156,51.0645059545236,13.6306241538725
1099,51.0696350840354,13.7615506178203
1139,51.083603420291,13.6956813952304
1129,51.0924299413265,13.7184701840659
1683,51.09931975,13.3044209700338
1445,51.1106347292478,13.6490821436816
1454,51.1200511777296,13.9116132676247
4552,51.12067865,12.504781113051
6682,51.1265932357143,11.9946561331169
1665,51.1401207,13.3792125010437
4720,51.1432426,13.1295998574295
6618,51.1450209477998,11.813605911044
2625,51.1812158385876,14.4302732400572
1896,51.1856613733482,14.0108695251906
1623,51.20609075,13.3070037507359
6686,51.2466549597293,12.1357543033841
1594,51.25297805,13.3007595115023
4249,51.2803868239764,12.3070172786795
1589,51.289721,13.3167812460178
2699,51.2973666014778,14.306127208867
4316,51.3269499987712,12.4536316418373
4178,51.3522436268028,12.2813674762923
4827,51.36257525,12.61307927201
2997,51.3820602716265,14.2502887690097
2979,51.4871593752947,14.2618480694516
6120,51.5086717,11.9079953994181
2959,51.5385991626074,14.5370795498567
2953,51.5442263790476,14.6790484721429
4849,51.5977628733156,12.5822535883422
6779,51.7457778,12.2531271881103
6842,51.78364995,12.3168893394496
3096,51.8469434,14.1870763388253
6844,51.85044355,12.270461380903
6888,51.8662843828399,12.6566764251964
6889,51.9317349315187,12.6405280343195
39245,52.06721175,11.8499704233982
39110,52.1297085750972,11.5819990483804
39130,52.1506525562761,11.5768486444824
39288,52.2690025607253,11.8510684781807
15749,52.2695570800417,13.5440421842142
14471,52.3911592423173,13.0290151199901
14774,52.3977246259723,12.4161635808225
14469,52.4168111509482,13.0298599678136
12349,52.4214122468683,13.4189856147892
12357,52.4302265418544,13.4884722005384
12109,52.4459519703954,13.3979285617586
15569,52.4488731,13.7557369789786
12105,52.4503697082829,13.3733149014425
12051,52.4670934102171,13.4326884299489
39319,52.4960852804933,12.0551445278027
12623,52.49794835,13.6112232248938
14055,52.5034953177109,13.2489998
12621,52.5047673627772,13.5879907138332
15366,52.51811235,13.6877301632224
13581,52.5305209514328,13.1789655743577
13055,52.5398613895165,13.4963813669679
13349,52.55729365,13.3494564621929
13059,52.5772078896815,13.5203686953291
13127,52.604091981113,13.4300750565093
39576,52.605092668867,11.8453501662535
13503,52.6130511913704,13.234093340094
16761,52.6317922,13.2066432389546
16548,52.63302455,13.3333277180559
16767,52.72505395,13.196917289076
29413,52.7878103750201,10.8921222187149
29410,52.8474811531018,11.1364690259541
39615,52.9021596621868,11.7698605944937
16247,52.98010265,13.7409573918597
16792,52.9907036,13.354847923435
16775,52.99320755,13.1180592462158
16303,53.0793633177808,14.2481545229464
19348,53.081114635464,11.8562986731427
19309,53.10447435,11.4388735383563
16798,53.1517233,13.2474389380845
1773,,
16818,,
16727,,
16341,,
16269,,
16248,,
16244,,
15868,,
15838,,
15827,,
15806,,
15757,,
15748,,
15745,,
15528,,
15377,,
15326,,
15299,,
14959,,
14823,,
14776,,
14621,,
14612,,
14548,,
14542,,
14532,,
9618,,
9600,,
9350,,
8606,,
8428,,
8393,,
8359,,
8340,,
8328,,
8309,,
8304,,
8301,,
8289,,
8248,,
8118,,
6647,,
6333,,
6279,,
6237,,
6198,,
6132,,
4523,,
4451,,
3130,,
3116,,
3044,,
2906,,
2829,,
1990,,
1945,,
1816,,
1768,,
1731,,
1705,,
1689,,
1662,,
1468,,
